Time (s)	Time (min)	T (K)	Radius (V)	theta
192.832737352	3.21387895586	295.664	2.68223e-07	-26.25
194.64253238	3.24404220633	295.664	2.53322e-07	-28.248
196.447692189	3.27412820315	295.664	2.12342e-07	-25.77
198.258585392	3.30430975653	295.663	1.71364e-07	-21.594
200.066599124	3.33444331874	295.663	1.41562e-07	-14.676
201.87755322	3.364625887	295.663	1.30386e-07	-11.592
203.686628731	3.39477714552	295.662	1.34111e-07	-8.328
205.495639849	3.42492733082	295.663	1.49013e-07	-6.342
207.300899397	3.45501498995	295.663	1.56463e-07	0.0
209.111913336	3.4851985556	295.663	1.45287e-07	6.486
210.919015073	3.51531691788	295.663	1.22935e-07	9.21
212.729469776	3.54549116293	295.663	9.31327e-08	6.114
214.537971352	3.57563285587	295.664	5.96051e-08	6.342
216.34803165	3.60580052751	295.663	2.60771e-08	0.0
218.154792526	3.63591320877	295.663	7.45064e-09	-71.568
219.954284034	3.66590473391	295.664	2.60771e-08	-104.034
221.759981382	3.6959996897	295.663	4.8429e-08	-105.948
223.567765191	3.72612941985	295.664	6.33304e-08	-115.2
225.368148397	3.75613580662	295.665	7.0781e-08	-125.838
227.169188828	3.78615314713	295.664	8.19568e-08	-138.18
228.969951741	3.81616586234	295.663	7.45063e-08	-149.034
230.770015433	3.84616692389	295.663	5.21543e-08	-165.066
232.5751049	3.87625174834	295.663	2.98025e-08	139.398
234.374006026	3.90623343377	295.664	4.8429e-08	90.0
236.176216373	3.93627027289	295.663	6.33304e-08	78.69
237.975569997	3.96625949995	295.663	6.70557e-08	79.218
239.776938691	3.99628231151	295.664	5.96051e-08	83.658
241.576163529	4.02626939215	295.664	4.8429e-08	97.596
243.381110213	4.05635183688	295.664	5.21543e-08	104.034
245.190880394	4.08651467324	295.665	5.96051e-08	93.18
246.998630957	4.11664384928	295.664	5.58796e-08	72.648
248.809908066	4.14683180109	295.664	5.58796e-08	54.462
250.616560104	4.1769426684	295.663	5.58796e-08	54.462
252.424263422	4.20707105703	295.664	4.8429e-08	74.052
254.22436736	4.23707278933	295.663	4.47037e-08	126.024
256.030776876	4.2671796146	295.664	7.0781e-08	166.608
257.839355794	4.29732259656	295.663	9.31327e-08	-176.058
259.647638995	4.32746064992	295.663	9.31327e-08	-165.966
261.455057096	4.35758428493	295.663	7.45063e-08	-162.348
263.255259023	4.38758765038	295.663	5.58796e-08	-159.444
265.05528247	4.41758804117	295.663	4.8429e-08	-164.052
266.855183082	4.44758638469	295.664	4.09784e-08	-171.252
268.655557189	4.47759261981	295.664	4.09784e-08	-175.602
270.461077807	4.50768463011	295.664	4.8429e-08	176.184
272.260834584	4.53768057641	295.664	5.21543e-08	165.966
274.063821142	4.56773035237	295.664	4.8429e-08	168.69
275.863795595	4.59772992659	295.665	4.8429e-08	168.69
277.665078199	4.62775130331	295.665	5.21543e-08	158.196
279.46506805	4.65775113416	295.664	5.58796e-08	130.236
281.27109576	4.68785159599	295.663	6.70557e-08	106.698
283.080563925	4.71800939876	295.664	7.82316e-08	94.764
284.885994254	4.74809990423	295.664	8.19568e-08	90.0
286.696234781	4.77827057969	295.663	7.82316e-08	92.388
288.506210739	4.80843684565	295.664	6.33304e-08	90.0
290.317230977	4.83862051628	295.664	5.21543e-08	68.196
292.122922025	4.86871536709	295.665	4.47037e-08	50.712
293.933253542	4.89888755904	295.664	2.23519e-08	63.438
295.740986607	4.92901644345	295.663	1.49013e-08	-158.196
