Time (s)	Time since Epoch	Temperature (K)	H (Oe)
58.180376375	1474050985.21	2.088	100.067
58.3573752647	1474050985.39	2.088	100.067
58.507342143	1474050985.54	2.0889	100.067
58.6803686	1474050985.71	2.0889	100.067
58.8233313948	1474050985.86	2.0889	100.067
58.986375921	1474050986.02	2.0889	100.067
59.1884083212	1474050986.22	2.0897	100.067
59.3394270093	1474050986.37	2.0897	100.067
59.480379174	1474050986.51	2.0897	100.067
59.621362439	1474050986.65	2.0905	100.067
59.7724088063	1474050986.8	2.0905	100.067
59.9513676327	1474050986.98	2.0905	100.067
60.1364280138	1474050987.17	2.0911	100.067
60.2814179218	1474050987.31	2.0911	100.067
60.4264121838	1474050987.46	2.0911	100.067
60.5733965497	1474050987.61	2.0911	100.067
60.7134729319	1474050987.74	2.0918	100.067
60.8964561285	1474050987.93	2.0918	100.067
61.0434255663	1474050988.08	2.0918	100.067
61.2054039765	1474050988.24	2.0938	100.067
61.3554333662	1474050988.39	2.0938	100.067
61.5204757714	1474050988.55	2.0938	100.067
61.697467819	1474050988.73	2.0938	100.067
61.8435515222	1474050988.88	2.0946	100.067
61.985445091	1474050989.02	2.0946	100.067
62.144463381	1474050989.18	2.0946	100.067
62.2924628585	1474050989.33	2.0949	100.067
62.4394711716	1474050989.47	2.0949	100.067
62.5834730252	1474050989.62	2.0949	100.067
62.7285021195	1474050989.76	2.0949	100.067
62.8915463347	1474050989.92	2.0968	100.067
63.0354461795	1474050990.07	2.0968	100.067
63.1774989815	1474050990.21	2.0968	100.067
63.3404791302	1474050990.37	2.0969	100.067
63.498533002	1474050990.53	2.0969	100.067
63.6545022252	1474050990.69	2.0969	100.067
63.830573084	1474050990.86	2.0969	100.067
63.9715376888	1474050991.0	2.0985	100.067
64.1135684096	1474050991.15	2.0985	100.067
64.2615840593	1474050991.29	2.0985	100.067
64.4055461045	1474050991.44	2.0985	100.067
64.5545793538	1474050991.59	2.0985	100.067
64.6956027381	1474050991.73	2.0987	100.067
64.8555842023	1474050991.89	2.0987	100.067
65.0256984335	1474050992.06	2.0987	100.067
65.1675640121	1474050992.2	2.0998	100.067
65.3395629173	1474050992.37	2.0998	100.067
65.503603273	1474050992.54	2.0998	100.067
65.6996239982	1474050992.73	2.1014	100.067
65.8425983001	1474050992.88	2.1014	100.067
66.0086601709	1474050993.04	2.1014	100.067
66.1555882454	1474050993.19	2.1011	100.067
66.2956033601	1474050993.33	2.1011	100.067
66.4436068806	1474050993.48	2.1011	100.067
66.5836593156	1474050993.62	2.1011	100.067
66.7566534283	1474050993.79	2.1023	100.067
66.9137105377	1474050993.95	2.1023	100.067
67.0596720169	1474050994.09	2.1023	100.067
67.2036791576	1474050994.24	2.1038	100.067
67.3666826315	1474050994.4	2.1038	100.067
67.5226310175	1474050994.56	2.1038	100.067
67.7137155137	1474050994.75	2.1048	100.067
67.8627139307	1474050994.89	2.1048	100.067
68.0267586404	1474050995.06	2.1048	100.067
68.1697270333	1474050995.2	2.1048	100.067
68.3257522369	1474050995.36	2.1056	100.067
68.5117698832	1474050995.54	2.1056	100.067
68.6787349047	1474050995.71	2.1056	100.067
68.8267713915	1474050995.86	2.1064	100.067
68.9727316268	1474050996.01	2.1064	100.067
69.1127218613	1474050996.14	2.1064	100.067
69.3258268774	1474050996.36	2.1064	100.067
69.4807442908	1474050996.51	2.1072	100.067
69.6237733291	1474050996.66	2.1072	100.067
69.7667983243	1474050996.8	2.1072	100.067
69.9237960322	1474050996.96	2.108	100.067
70.1048625214	1474050997.14	2.108	100.067
70.2467688413	1474050997.28	2.108	100.067
70.3978183187	1474050997.43	2.1088	100.067
70.5488068396	1474050997.58	2.1088	100.067
70.6938294028	1474050997.73	2.1088	100.067
70.8367775805	1474050997.87	2.1088	100.067
70.9948124811	1474050998.03	2.1096	100.067
71.1718589542	1474050998.2	2.1096	100.067
71.3447896225	1474050998.38	2.1096	100.067
71.5009224329	1474050998.53	2.1104	100.067
71.6488450928	1474050998.68	2.1104	100.067
71.8158396596	1474050998.85	2.1104	100.067
71.9908764357	1474050999.02	2.1109	100.067
72.1578237301	1474050999.19	2.1109	100.067
72.305874523	1474050999.34	2.1109	100.067
72.4498850846	1474050999.48	2.1109	100.067
72.6598959386	1474050999.69	2.1117	100.067
72.8268799313	1474050999.86	2.1117	100.067
72.9759231327	1474051000.01	2.1117	100.067
73.1529347735	1474051000.19	2.1123	100.067
73.3019459416	1474051000.34	2.1123	100.067
73.4479198609	1474051000.48	2.1123	100.067
73.5979442746	1474051000.63	2.1145	100.067
73.7489844219	1474051000.78	2.1145	100.067
73.894930662	1474051000.93	2.1145	100.067
74.0479151959	1474051001.08	2.1145	100.067
74.2219875537	1474051001.26	2.1149	100.067
74.3759856441	1474051001.41	2.1149	100.067
74.5309630809	1474051001.56	2.1149	100.067
74.6949726473	1474051001.73	2.115	100.067
74.841918449	1474051001.88	2.115	100.067
74.9819223676	1474051002.02	2.115	100.067
75.1698946635	1474051002.2	2.1167	100.067
75.3489299965	1474051002.38	2.1167	100.067
